bird_name,scientific_name,family,at_a_glance,conservation_status,habitat,url
Brown Shrike,Lanius cristatus,,"Common in Asia, this species is similar in habits to the North American shrikes, but it tends to be more elusive, spending less time perching conspicuously in the open. Brown Shrikes are rare visitors in spring and fall to western and southern Alaska, and have wandered as far south as California a few times.",Least Concern,"Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/brown-shrike
Red-lored Amazon,Amazona autumnalis,,"A large, short-tailed parrot, native from eastern Mexico to northwestern South America. In southern California and southern Texas, birds escaped from captivity are often seen mixed in with flocks of other feral parrots, such as Red-crowned and Yellow-headed Amazons.",Least Concern,"Forests and Woodlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/red-lored-parrot
Red-necked Stint,Calidris ruficollis,,"This rusty-headed little sandpiper is mostly an Asian bird, but every summer, small numbers cross the Bering Strait to nest in western Alaska. Rarely, a few individuals will migrate south in the Americas rather than taking their usual route south to the Australasian region. Such strays have been seen on both coasts and at points in between. Most Rufous-necked Stints found south of Alaska have been adults migrating south in July, still in distinctive breeding plumage.",Least Concern,"Coasts and Shorelines, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/red-necked-stint
Red-legged Kittiwake,Rissa brevirostris,,"This small gull is an uncommon specialty of the Bering Sea, nesting in only four island groups. Its limited range is surprising because its close relative, Black-legged Kittiwake, is abundant in northern waters; even in the general region of the North Pacific and Bering Sea, Black-legged outnumbers Red-legged by more than ten to one. Red-legged Kittiwake is known to birders mainly from colonies on the Pribilof Islands, Alaska.",Vulnerable,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/red-legged-kittiwake
Black-vented Shearwater,Puffinus opisthomelas,,"Most shearwaters range widely over the ocean far from land, and most of those seen off our Pacific Coast nest only in the southern hemisphere. The Black-vented Shearwater is an exception, nesting on islands off northwestern Mexico, traveling only short distances north along the California coast, and usually staying within a few miles of shore. Observers at coastal lookouts may see this bird in late fall, flying with rapid wingbeats and short glides low over the waves.",Near Threatened,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/black-vented-shearwater
Red-throated Pipit,Anthus cervinus,,"Widespread across northern Europe and Asia, this pipit enters North America as a nesting bird only in a very limited area of western Alaska. There it breeds mostly at the western end of the Seward Peninsula, and on offshore islands such as St. Lawrence and Little Diomede. Surprisingly, a few Red-throated Pipits often show up along the California coast in fall. These lost migrants usually associate with flocks of American Pipits in open fields.",Least Concern,"Fields, Meadows, and Grasslands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/red-throated-pipit
Fan-tailed Warbler,Basileuterus lachrymosus,,"In Mexico and Central America, this large warbler is a shy denizen of the understory in dense woods. As it skulks near the ground, it often flips its long tail about or fans it wide open, displaying the white spots at the tip. Lone Fan-tailed Warblers have strayed into Arizona a few times, mostly appearing in late spring in canyons just north of the border.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/fan-tailed-warbler
Yellow-legged Gull,Larus michahellis,,"Long considered just a yellow-legged race of the Herring Gull complex, this form was recently recognized as a full species. Native to southern Europe, it has strayed very rarely to eastern North America.",Least Concern,"Coasts and Shorelines, Landfills and Dumps, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/yellow-legged-gull
Cassia Crossbill,Loxia sinesciuris,,"Formerly considered a localized form of Red Crossbill, the Cassia Crossbill was officially recognized as a full species in 2017. It lives only in lodgepole pine forests of the South Hills and Albion Mountains in Cassia County, southern Idaho. These two mountain ranges are unusual in having no red squirrels, which feed heavily on pine cones elsewhere. As a result, the lodgepole pines in these mountains have abundant cones, and the Cassia Crossbills are specially adapted to feed on the seeds from those cones. (The species name of this crossbill, sinesciurus, means ""without squirrels."")",Least Concern,Forests and Woodlands,https://www.audubon.org/field-guide/bird/cassia-crossbill
Black-tailed Gull,Larus crassirostris,,"Common along the coastlines of eastern Asia, this gull has wandered to western Alaska a few times. Isolated birds have been found at a wide variety of other sites from coast to coast in North America. Although these far-flung strays may have been assisted in their arrival, perhaps resting on ships for part of their journey, they also might have wandered there on their own.",Least Concern,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Landfills and Dumps",https://www.audubon.org/field-guide/bird/black-tailed-gull
Ruddy Quail-Dove,Geotrygon montana,,"Quail-Doves are shy inhabitants of the forest floor in tropical regions, related to other doves and pigeons but as round-bodied as quail. This species is found almost throughout the American tropics; it has strayed to southern Florida several times and to southern Texas at least once.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/ruddy-quail-dove
Olive Warbler,Peucedramus taeniatus,,"In forests of pine, fir, and oak in southwestern mountains, the Olive Warbler is common in summer and sometimes remains through winter. As it searches for insects high in the trees, it might seem like a typical warbler, aside from its soft whistled callnote and the copper-colored head of the adult male. But DNA studies show that it is quite distinct, so it is now placed in its own family.",Least Concern,"Arroyos and Canyons, Forests and Woodlands",https://www.audubon.org/field-guide/bird/olive-warbler
Little Stint,Calidris minuta,,"Rare and difficult to identify, this Eurasian shorebird was not detected in our area until 1975, but it may have been overlooked before that. There now have been well over two dozen North American records, about half of them either in the northeast or along the Pacific Coast, the rest in Alaska.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/little-stint
Dusky Warbler,Phylloscopus fuscatus,,"Common in Asia, this plain warbler skulks in thickets, its presence revealed by its sharp low callnote. The Dusky Warbler is known as a rare visitor to western Alaska. It has also reached California about a dozen times, mostly in fall.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/dusky-warbler
Eyebrowed Thrush,Turdus obscurus,,"A rare visitor to the islands of western Alaska, mostly in spring. Very rare on the mainland. Has strayed as far south as California, but similar birds seen away from Alaska are probably pale American Robins.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/eyebrowed-thrush
Scripps's Murrelet,Synthliboramphus scrippsi,,"Most members of the auk family favor cold northern waters, but this one is found mostly off Baja and southern California. It nests on offshore islands, and is almost never seen from the mainland. Generally uncommon, it occurs at sea in pairs or family groups, not in flocks. Young Scripps's Murrelets get an early start on their sea-going life, leaving their nest only one or two days after hatching, often having to jump more than 200 feet down from cliffs into the surf before swimming away with their parents. Formerly known as Xantus's Murrelet.",Vulnerable,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/scrippss-murrelet
